symbol	price	datetime
SCTY	21.55	2016-03-28 15:31:00
SCTY	21.57	2016-03-28 15:32:00
SCTY	21.57	2016-03-28 15:33:00
SCTY	21.56	2016-03-28 15:34:00
SCTY	21.55	2016-03-28 15:35:00
SCTY	21.58	2016-03-28 15:36:00
SCTY	21.6	2016-03-28 15:37:00
SCTY	21.58	2016-03-28 15:38:00
SCTY	21.56	2016-03-28 15:39:00
SCTY	21.61	2016-03-28 15:40:00
SCTY	21.57	2016-03-28 15:41:00
SCTY	21.53	2016-03-28 15:42:00
SCTY	21.53	2016-03-28 15:43:00
SCTY	21.54	2016-03-28 15:44:00
SCTY	21.56	2016-03-28 15:45:00
SCTY	21.55	2016-03-28 15:46:00
SCTY	21.54	2016-03-28 15:47:00
SCTY	21.52	2016-03-28 15:48:00
SCTY	21.53	2016-03-28 15:49:00
SCTY	21.55	2016-03-28 15:50:00
SCTY	21.57	2016-03-28 15:51:00
SCTY	21.59	2016-03-28 15:52:00
SCTY	21.56	2016-03-28 15:53:00
SCTY	21.58	2016-03-28 15:54:00
SCTY	21.53	2016-03-28 15:55:00
SCTY	21.53	2016-03-28 15:56:00
SCTY	21.56	2016-03-28 15:57:00
SCTY	21.56	2016-03-28 15:58:00
SCTY	21.63	2016-03-28 15:59:00
SCTY	21.69	2016-03-28 16:00:00
SCTY	21.11	2016-03-29 09:30:00
SCTY	21.21	2016-03-29 09:31:00
SCTY	21.06	2016-03-29 09:32:00
SCTY	21.08	2016-03-29 09:33:00
SCTY	21.2	2016-03-29 09:34:00
SCTY	21.32	2016-03-29 09:35:00
SCTY	21.21	2016-03-29 09:36:00
SCTY	21.34	2016-03-29 09:37:00
SCTY	21.31	2016-03-29 09:38:00
SCTY	21.28	2016-03-29 09:39:00
SCTY	21.41	2016-03-29 09:40:00
SCTY	21.34	2016-03-29 09:41:00
SCTY	21.42	2016-03-29 09:42:00
SCTY	21.49	2016-03-29 09:43:00
SCTY	21.45	2016-03-29 09:44:00
SCTY	21.57	2016-03-29 09:45:00
SCTY	21.57	2016-03-29 09:46:00
SCTY	21.52	2016-03-29 09:47:00
SCTY	21.61	2016-03-29 09:48:00
SCTY	21.65	2016-03-29 09:49:00
SCTY	21.67	2016-03-29 09:50:00
SCTY	21.67	2016-03-29 09:51:00
SCTY	21.75	2016-03-29 09:52:00
SCTY	21.84	2016-03-29 09:53:00
SCTY	21.81	2016-03-29 09:54:00
SCTY	21.94	2016-03-29 09:55:00
SCTY	22.13	2016-03-29 09:56:00
SCTY	22.15	2016-03-29 09:57:00
SCTY	22.23	2016-03-29 09:58:00
SCTY	22.44	2016-03-29 09:59:00
SCTY	22.63	2016-03-29 10:00:00
SCTY	22.38	2016-03-29 10:01:00
SCTY	22.19	2016-03-29 10:02:00
SCTY	22.38	2016-03-29 10:03:00
SCTY	22.29	2016-03-29 10:04:00
SCTY	22.25	2016-03-29 10:05:00
SCTY	22.2	2016-03-29 10:06:00
SCTY	22.29	2016-03-29 10:07:00
SCTY	22.25	2016-03-29 10:08:00
SCTY	22.35	2016-03-29 10:09:00
SCTY	22.34	2016-03-29 10:10:00
SCTY	22.5	2016-03-29 10:11:00
SCTY	22.42	2016-03-29 10:12:00
SCTY	22.23	2016-03-29 10:13:00
SCTY	22.33	2016-03-29 10:14:00
SCTY	22.24	2016-03-29 10:15:00
SCTY	22.26	2016-03-29 10:16:00
SCTY	22.18	2016-03-29 10:17:00
SCTY	22.2	2016-03-29 10:18:00
SCTY	22.35	2016-03-29 10:19:00
SCTY	22.29	2016-03-29 10:20:00
SCTY	22.23	2016-03-29 10:21:00
SCTY	22.22	2016-03-29 10:22:00
SCTY	22.36	2016-03-29 10:23:00
SCTY	22.31	2016-03-29 10:24:00
SCTY	22.32	2016-03-29 10:25:00
SCTY	22.35	2016-03-29 10:26:00
SCTY	22.37	2016-03-29 10:27:00
SCTY	22.36	2016-03-29 10:28:00
